Pyridoxal Phosphate	SHMT2|PDXP|SPTLC1|SRR|SPTLC3|MOCOS|NFS1|GPT|SGPL1|OAT|CCBL1|PYGM|FTCD|AADAT|DDC|KYNU|PROSC|SEPSECS|CTH|SHMT1|TAT|PDXDC1|PSAT1|ADC|AGXT2|CBS|ODC1|CSAD|GADL1|GAD1|ABAT|HDC|GLDC|BCAT1|SDS|GPT2|PHYKPL|SPTLC2|GOT2|GOT1|GCAT|CCBL2|THNSL1|ALAS1|PYGB|IGSF10|SCLY|BCAT2|PNPO|SDSL|PYGL|AGXT
Vecuronium	CHRNA2
Dantrolene	RYR1
Moxifloxacin	TOP2A
Dexrazoxane	TOP2A|TOP2B
Valrubicin	TOP2A
Teniposide	TOP2A
Enoxacin	TOP2A
Pefloxacin	TOP2A
Trovafloxacin	TOP2A
Daunorubicin	TOP2A|TOP2B
Etoposide	TOP2A|TOP2B
Lomefloxacin	TOP2A
Doxorubicin	TOP2A
Norfloxacin	TOP2A
Levofloxacin	TOP2A
Ofloxacin	TOP2A
Idarubicin	TOP2A
Mitoxantrone	TOP2A
Sparfloxacin	TOP2A
Fleroxacin	TOP2A
Lucanthone	TOP2A|TOP1|APEX1
Banoxantrone	TOP2A
SP1049C	TOP2A
Amonafide	TOP2A|TOP2B
Elsamitrucin	TOP2A|TOP1
RTA 744	TOP2A
Finafloxacin	TOP2A
Inhibitor Idd 384	AKR1B1
Alpha-D-Glucose-6-Phosphate	HK1|PYGM|AKR1B1|GPI
Alrestatin	AKR1B1
Fidarestat	AKR1B1
Fidarestat(Stereoisomer)	AKR1B1
[3-(4-Bromo-2-Fluoro-Benzyl)-7-Chloro-2,4-Dioxo-3,4-Dihydro-2h-Quinazolin-1-Yl]-Acetic Acid	AKR1B1
Tolrestat	AKR1B10|AKR1B1|AKR1A1
N-Acetylalanine	AKR1B1
Sorbinil	AKR1B1
IDD552	AKR1B1
AS-3201	AKR1B1
pimagedine HCl	AKR1B1|TIMP3
(2-{[(4-BROMO-2-FLUOROBENZYL)AMINO]CARBONYL}-5-CHLOROPHENOXY)ACETIC ACID	AKR1B1
(5-CHLORO-2-{[(3-NITROBENZYL)AMINO]CARBONYL}PHENOXY)ACETIC ACID	AKR1B1
{3-[(4,5,7-TRIFLUORO-1,3-BENZOTHIAZOL-2-YL)METHYL]-1H-INDOL-1-YL}ACETIC ACID	AKR1B1
{3-[(5-CHLORO-1,3-BENZOTHIAZOL-2-YL)METHYL]-2,4-DIOXO-3,4-DIHYDROPYRIMIDIN-1(2H)-YL}ACETIC ACID	AKR1B1
3-[5-(3-nitrophenyl)thiophen-2-yl]propanoic acid	AKR1B1
6-[(5-CHLORO-3-METHYL-1-BENZOFURAN-2-YL)SULFONYL]PYRIDAZIN-3(2H)-ONE	AKR1B1
2[4-BROMO-2-FLUOROPHENYL)METHYL]-6-FLUOROSPIRO[ISOQUINOLINE-4-(1H),3'-PYRROLIDINE]-1,2',3,5'(2H)-TETRONE	AKR1B1
4-[3-(3-NITROPHENYL)-1,2,4-OXADIAZOL-5-YL]BUTANOIC ACID	AKR1B1
{4-[(CARBOXYMETHOXY)CARBONYL]-3,3-DIOXIDO-1-OXONAPHTHO[1,2-D]ISOTHIAZOL-2(1H)-YL}ACETIC ACID	AKR1B1
2-(CARBOXYMETHYL)-1-OXO-1,2-DIHYDRONAPHTHO[1,2-D]ISOTHIAZOLE-4-CARBOXYLIC ACID 3,3-DIOXIDE	AKR1B1
IDD594	AKR1B1
[5-(5-nitro-2-furyl)-1,3,4-oxadiazol-2-yl]thio}acetic acid	AKR1B1
2-(3-((4,5,7-trifluorobenzo[d]thiazol-2-yl)methyl)-1H-pyrrolo[2,3-b]pyridin-1-yl)acetic acid	AKR1B1
3,4-DIHYDRO-4-OXO-3-((5-TRIFLUOROMETHYL-2-BENZOTHIAZOLYL)METHYL)-1-PHTHALAZINE ACETIC ACID	AKR1B10|AKR1B1
Palifermin	FGFR2|HSPG2|FGFR3|NRP1|FGFR1|FGFR4
SU4984	FGFR2|FGFR1
4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine	FGFR2
Fluvoxamine	SLC6A4
Fluoxetine	SLC6A4
Zimelidine	MAOA|MAOB|SLC6A4
OPC-14523	SLC6A4
Oxytocin	OXT|OXTR
Homoserine Lactone	SLC9A1
Quinonoid 7,8-Tetrahydrobiopterin	PAH
Beta(2-Thienyl)Alanine	PAH
Norleucine	PTH|PAH|HNF1A
Prochlorperazine	DRD2
Alizapride	DRD2
Brasofensine	DRD2
Bromopride	DRD2
Ridogrel	TBXA2R|TBXAS1
Lubiprostone	CLCN2
Gefitinib	EGFR
Erlotinib	EGFR|NR1I2
Panitumumab	EGFR
Flavopiridol	CDK4|CDK5|EGFR|CDK2|CDK1|CDK8|CDK6|CDK7|PYGM|CDK9
Matuzumab	EGFR
HuMax-EGFr	EGFR
CDX-110	EGFR
CI-1033	EGFR
IMC-11F8	EGFR
INSM-18	EGFR|IGF1R
S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE	EGFR
N-[4-(3-BROMO-PHENYLAMINO)-QUINAZOLIN-6-YL]-ACRYLAMIDE	EGFR|SRC
Osimertinib	EGFR
Necitumumab	EGFR
Levallorphan	OPRM1
Alfentanil	OPRM1
Anileridine	OPRM1
Levomethadyl Acetate	CHRNA3|CHRNB4|OPRM1
Methadyl Acetate	OPRM1
Ethylmorphine	OPRM1
Naloxegol	OPRM1
Debromohymenialdisine	CLK1|TNK2
SR 121463	AVPR1B
Pamidronate	FDPS
Zoledronate	GGPS1|FDPS
Alendronate	ATP6V1A|FDPS|PTPN4|PTPRE|PTPRS
Ibandronate	FDPS
Risedronate	FDPS
Dimethylallyl Diphosphate	IDI1|FDPS
Isopentyl Pyrophosphate	FDPS
Geranyl Diphosphate	GGPS1|FDPS
ISOPENTENYL PYROPHOSPHATE	GGPS1|FDPS
FARNESYL DIPHOSPHATE	RABGGTA|FNTA|KRAS|FDPS|FNTB|GGPS1|RABGGTB
GERANYLGERANYL DIPHOSPHATE	RABGGTA|FNTA|FDPS|PGGT1B|FNTB|GGPS1|RABGGTB
Calcitriol	VDR
Calcidiol	VDR
Ergocalciferol	VDR
Cholecalciferol	VDR
Paricalcitol	VDR
Dihydrotachysterol	VDR
Calcipotriol	VDR
1-alpha, 25-dihydroxyl-20-epi-22-oxa-24, 26 ,27-trihomovitamin D3	VDR
Seocalcitol	VDR
Inecalcitol	VDR
CTA018	VDR|CYP24A1
ED-71	VDR
(1R,3R)-5-[(2E)-3-{(1S,3R)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol	VDR|NCOA1
5-{2-[1-(1-METHYL-PROPYL)-7A-METHYL-OCTAHYDRO-INDEN-4-YLIDENE]-ETHYLIDENE}-2-METHYLENE-CYCLOHEXANE-1,3-DIOL	VDR|MED1
1,3-CYCLOHEXANEDIOL, 4-METHYLENE-5-[(2E)-[(1S,3AS,7AS)-OCTAHYDRO-1-(5-HYDROXY-5-METHYL-1,3-HEXADIYNYL)-7A-METHYL-4H-INDEN-4-YLIDENE]ETHYLIDENE]-, (1R,3S,5Z)	VDR|NCOA1
Dalfampridine	KCNC3|KCNC2|KCNA2|KCNA4|KCNA1|KCNA3|KCNA10|KCNC1|KCNA5|KCND1|KCNB1|KCNB2|KCNA7|KCNA6|KCND3|KCND2
Sulfinpyrazone	ABCC2|ABCC1
Biricodar dicitrate	ABCG2|ABCB5|ABCC1
2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Imino]-5-Phosphono-Pent-3-Enoic Acid	CTH
Carboxymethylthio-3-(3-Chlorophenyl)-1,2,4-Oxadiazol	CTH
L-2-amino-3-butynoic acid	CTH
Para-Mercury-Benzenesulfonic Acid	CLC|ESR2
N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide	ESR2
5-Alpha-Androstane-3-Beta,17beta-Diol	ESR2
4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol	ESR2
MF101	ESR2
2-(3-FLUORO-4-HYDROXYPHENYL)-7-VINYL-1,3-BENZOXAZOL-5-OL	NCOA1|ESR2
3-(3-FLUORO-4-HYDROXYPHENYL)-7-HYDROXY-1-NAPHTHONITRILE	NCOA1|ESR2
4-(6-HYDROXY-BENZO[D]ISOXAZOL-3-YL)BENZENE-1,3-DIOL	ESR2
2-(5-HYDROXY-NAPHTHALEN-1-YL)-1,3-BENZOOXAZOL-6-OL	NCOA1|ESR2
2-(4-HYDROXY-PHENYL)BENZOFURAN-5-OL	ESR2
(3aS,4R,9bR)-2,2-difluoro-4-(4-hydroxyphenyl)-6-(methoxymethyl)-1,2,3,3a,4,9b-hexahydrocyclopenta[c]chromen-8-ol	ESR2
1-CHLORO-6-(4-HYDROXYPHENYL)-2-NAPHTHOL	NCOA1|ESR2
4-(4-HYDROXYPHENYL)-1-NAPHTHALDEHYDE OXIME	NCOA1|ESR2
5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-CARBONITRILE	NCOA1|ESR2
3-BROMO-6-HYDROXY-2-(4-HYDROXYPHENYL)-1H-INDEN-1-ONE	NCOA1|ESR2
3-(6-HYDROXY-NAPHTHALEN-2-YL)-BENZO[D]ISOOXAZOL-6-OL	NCOA1|ESR2
(16ALPHA,17ALPHA)-ESTRA-1,3,5(10)-TRIENE-3,16,17-TRIOL	NCOA5|ESR2
(9aS)-4-bromo-9a-butyl-7-hydroxy-1,2,9,9a-tetrahydro-3H-fluoren-3-one	ESR2
FavId	CSF3R
Flunisolide	NR3C1
Diflorasone	NR3C1
Alclometasone	NR3C1
Medrysone	NR3C1
Fluorometholone	NR3C1
Beclomethasone	NR3C1
Betamethasone	NR3C1
Desoximetasone	NR3C1
Fluocinolone Acetonide	NR3C1
Halobetasol Propionate	NR3C1
Triamcinolone	NR3C1
Flumethasone Pivalate	NR3C1
Mometasone	NR3C1
Hydrocortamate	NR3C1
Clocortolone	NR3C1
Flurandrenolide	NR3C1
Prednisolone	NR3C1
Loteprednol	NR3C1
Rimexolone	NR3C1
Methylprednisolone	NR3C1
Clobetasol propionate	NR3C1
Fluocinonide	SMO|NR3C1
Prednicarbate	NR3C1
Budesonide	NR3C1
Desonide	NR3C1
Cortisone acetate	NR3C1
Paramethasone	NR3C1
Ciclesonide	NR3C1
Hexane-1,6-Diol	HRAS|PLA2G1B|NR3C1
ORG-34517	NR3C1
Difluprednate	NR3C1
Fluticasone furoate	NR3C1
Methohexital	GABRA1
Methyprylon	GABRP|GABRA1|GABRQ|GABRA6|GABRD|GABRA2|GABRB2|GABRE|GABRB1|GABRA3|GABRA5|GABRG2|GABRG3|GABRA4|GABRB3|GABRG1
Phenobarbital	GRIK2|GRIN2B|GABRA1|GRIN3A|GRIN1|GRIN2D|GRIN3B|GRIA2|GRIN2C|GRIN2A|CHRNA4|CHRFAM7A
Dihydroquinidine barbiturate	GABRA1
Glutethimide	GABRP|GABRA1|GABRQ|GABRA6|GABRD|GABRA2|GABRB2|GABRE|GABRB1|GABRA3|GABRA5|GABRG2|GABRG3|GABRA4|GABRB3|GABRG1
(9r,10r)-9-(S-Glutathionyl)-10-Hydroxy-9,10-Dihydrophenanthrene	GSTP1|GSTM1
Zinc Trihydroxide	GSTM1
Glutathione S-(2,4 Dinitrobenzene)	GSTM1|GSTM2
Fluorotryptophane	TPI1|GSTM1
(9s,10s)-9-(S-Glutathionyl)-10-Hydroxy-9,10-Dihydrophenanthrene	GSTM1
GLUTATHIONE SULFINATE	GSTK1
GSHNA	GSTA3
Glutathione Sulfonic Acid	GSTM4|GSTP1|GSTA1
S-Octylglutathione	GSTM4
1-Hydroxy-2-S-Glutathionyl-3-Para-Nitrophenoxy-Propane	GSTM4
S-Hexylglutathione	GLO1|GSTM4|GSTP1|GSTA1
S-Hydroxycysteine	PMP2|C3|GSTA1|GSTP1|ACAT2
Cibacron Blue	GSTP1|NQO1
S-(P-Nitrobenzyl)Glutathione	GSTP1
Carbocisteine	GSTP1
Canfosfamide	GSTP1
TLK-199	GSTP1
S-NONYL-CYSTEINE	GSTP1
S-(4-BROMOBENZYL)CYSTEINE	GSTP1
5-Formyl-5,6,7,8-Tetrahydrofolate	FTCD
4-(1-Amino-1-Carboxy-Ethyl)-Benzoic Acid	GRM1
Butabarbital	GRIK2|GABRP|GABRA1|GABRG1|GABRQ|GABRA6|GABRD|GABRA2|GABRB2|GABRE|GABRB1|GRIA2|GABRA3|GABRA5|GABRG2|GABRG3|GABRA4|CHRNA4|GABRB3|CHRFAM7A
Domoic Acid	GRIK2
Quisqualate	GRIK2|GRIA2
2s,4r-4-Methylglutamate	GRIK2
(S)-Des-Me-Ampa	GRIA2
AMPA	GRIA2
2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid	GRIA2
Iodo-Willardiine	GRIA2
Fluoro-Willardiine	GRIA2
(S)-2-Amino-3-(1,3,5,7-Pentahydro-2,4-Dioxo-Cyclopenta[E]Pyrimidin-1-Yl) Proionic Acid	GRIA2
(S)-ATPA	GRIA2
Dnqx	GRIA2
Bromo-Willardiine	GRIA2
Willardiine	GRIA2
2-Amino-3-(3-Hydroxy-7,8-Dihydro-6h-Cyclohepta[D]-4-Isoxazolyl)Propionic Acid	GRIA2
THIO-ATPA	GRIA2
N,N'-[biphenyl-4,4'-diyldi(2R)propane-2,1-diyl]dimethanesulfonamide	GRIA2
2,3,6A,7,8,9-HEXAHYDRO-11H-[1,4]DIOXINO[2,3-G]PYRROLO[2,1-B][1,3]BENZOXAZIN-11-ONE	GRIA2
(3S)-3-cyclopentyl-6-methyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2H-1,2,4-benzothiadiazine 1,1-dioxide	GRIA2
(3R)-3-cyclopentyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2H-1,2-benzothiazine 1,1-dioxide	GRIA2
(3R)-3-cyclopentyl-6-methyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2H-1,2-benzothiazine 1,1-dioxide	GRIA2
Lithium	GSK3B|IMPA2|IMPA1|GRIA3
Acarbose	SI|GAA|AMY2A|MGAM
Miglitol	GAA|GANC|MGAM|GANAB
Voglibose	MGAM
RU84687	SRC
RU79256	SRC
N6-Benzyl Adenosine-5'-Diphosphate	SRC
RU85493	SRC
RU78262	SRC
Malonic acid	SRC|SNRPA
RU83876	SRC
RU90395	SRC
RU79072	SRC
RU78783	SRC
1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine	LCK|SRC|LYN
PASBN	SRC
RU82129	SRC
PAS219	SRC
DPI59	SRC
RU82197	SRC
Phenylphosphate	SRC
RU78300	SRC
RU79073	SRC
RU82209	SRC
ISO24	SRC
RU85053	SRC
RU78299	SRC
Oxalic Acid	SRC
RU78191	SRC
RU81843	SRC
4-[(4-METHYL-1-PIPERAZINYL)METHYL]-N-[3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-BENZAMIDE	SRC
Purvalanol A	CSNK1G3|RPS6KA1|SRC
1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-naphthalen-1-ylurea	MAPK14|SRC
1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-phenylurea	SRC
3-[4-AMINO-1-(1-METHYLETHYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL]PHENOL	PIK3CG|SRC
[4-({4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]quinazolin-2-yl}amino)phenyl]acetonitrile	SRC
1-cyclopentyl-3-(1H-pyrrolo[2,3-b]pyridin-5-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine	SRC
1-cyclobutyl-3-(3,4-dimethoxyphenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine	SRC
1-(1-methylethyl)-3-quinolin-6-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine	SRC
2-(4-CARCOXY-5-ISOPROPYLTHIAZOLYL)BENZOPIPERIDINE	SRC
N-(4-PHENYLAMINO-QUINAZOLIN-6-YL)-ACRYLAMIDE	SRC
(2E)-N-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide	SRC
1-Methoxy-2-[2-(2-Methoxy-Ethoxy]-Ethane	FYN|PFN2|PPIF
{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid	LCK
Staurosporine	PIM1|ITK|GSK3B|SYK|CSK|CDK2|PIK3CG|PDPK1|MAPKAPK2|LCK|PRKCQ|ZAP70
(4-{2-Acetylamino-2-[1-(3-Carbamoyl-4-Cyclohexylmethoxy-Phenyl)-Ethylcarbamoyl}-Ethyl}-2-Phosphono-Phenoxy)-Acetic Acid	LCK
3-(2-AMINOQUINAZOLIN-6-YL)-4-METHYL-N-[3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE	LCK
2,3-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-B]PYRIDIN-4-AMINE	LCK
5,6-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-D]PYRIMIDIN-4-AMINE	LCK
N-(2-chlorophenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine	LCK
N-(2,6-dimethylphenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine	LCK
N-(2-chloro-6-methylphenyl)-8-[(3S)-3-methylpiperazin-1-yl]imidazo[1,5-a]quinoxalin-4-amine	LCK
Carbetocin	OXTR
S-(D-Carboxybutyl)-L-Homocysteine	BHMT
Abatacept	CD86|CD80
Belatacept	CD86|CD80
Galiximab	CD80
Cosyntropin	MC2R
Corticotropin	MC2R|CRH
Varenicline	CHRNA3|CHRNA6|CHRNA4|CHRFAM7A
ABT-089	CHRNB2|CHRNA4
Cytisine	CHRNA3|CHRNA6|CHRNA4|CHRFAM7A
Rivanicline	IL8|CHRNB2
5-CYANO-FURAN-2-CARBOXYLIC ACID [5-HYDROXYMETHYL-2-(4-METHYL-PIPERIDIN-1-YL)-PHENYL]-AMIDE	CSF1R
6-CHLORO-3-(3-METHYLISOXAZOL-5-YL)-4-PHENYLQUINOLIN-2(1H)-ONE	CSF1R
Sitagliptin	DPP4
2-Amino-3-Methyl-1-Pyrrolidin-1-Yl-Butan-1-One	DPP4
5-(Aminomethyl)-6-(2,4-Dichlorophenyl)-2-(3,5-Dimethoxyphenyl)Pyrimidin-4-Amine	DPP4
(2s)-Pyrrolidin-2-Ylmethylamine	DPP4
Iodo-Phenylalanine	DPP4
Diisopropylphosphono Group	CFB|DPP4
1-(1-phenylcyclopentyl)methylamine	DPP4
(S)-2-[(R)-3-amino-4-(2-fluorophenyl)butyryl]-1,2,3,4-tetrahydroisoquinoline-3-carboxamide	DPP4
Vildagliptin	DPP4
PSN9301	DPP4
PHX1149	DPP4
KRP-104	DPP4
Alogliptin	DPP4
Saxagliptin	DPP4
(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-PROP-1-YN-1-YLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE	DPP4
N-(TRANS-4-{(1S,2S)-2-AMINO-3-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-1-METHYL-3-OXOPROPYL}CYCLOHEXYL)-N-METHYLACETAMIDE	DPP4
(2S,3S)-4-cyclopropyl-3-{(3R,5R)-3-[2-fluoro-4-(methylsulfonyl)phenyl]-1,2,4-oxadiazolidin-5-yl}-1-[(3S)-3-fluoropyrrolidin-1-yl]-1-oxobutan-2-amine	DPP4
(2S,3S)-3-{3-[2-chloro-4-(methylsulfonyl)phenyl]-1,2,4-oxadiazol-5-yl}-1-cyclopentylidene-4-cyclopropyl-1-fluorobutan-2-amine	DPP4
(3R,4R)-4-(pyrrolidin-1-ylcarbonyl)-1-(quinoxalin-2-ylcarbonyl)pyrrolidin-3-amine	DPP4
(7R,8R)-8-(2,4,5-trifluorophenyl)-6,7,8,9-tetrahydroimidazo[1,2-a:4,5-c']dipyridin-7-amine	DPP4
(2S,3S)-3-{3-[4-(METHYLSULFONYL)PHENYL]-1,2,4-OXADIAZOL-5-YL}-1-OXO-1-PYRROLIDIN-1-YLBUTAN-2-AMINE	DPP4
(1S,2R,5S)-5-[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]-2-(2,4,5-TRIFLUOROPHENYL)CYCLOHEXANAMINE	DPP4
(2R)-4-[(8R)-8-METHYL-2-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[1,5-A]PYRAZIN-7(8H)-YL]-4-OXO-1-(2,4,5-TRIFLUOROPHENYL)BUTAN-2-AMINE	DPP4
(2S,3S)-3-AMINO-4-(3,3-DIFLUOROPYRROLIDIN-1-YL)-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-6-YLCYCLOHEXYL)BUTANAMIDE	DPP4
(2S,3S)-3-AMINO-4-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-5-YLCYCLOHEXYL)BUTANAMIDE	DPP4
(3R)-4-[(3R)-3-AMINO-4-(2,4,5-TRIFLUOROPHENYL)BUTANOYL]-3-METHYL-1,4-DIAZEPAN-2-ONE	DPP4
4'-[(1R)-1-amino-2-(2,5-difluorophenyl)ethyl]biphenyl-3-carboxamide	DPP4
(2R,3R)-7-(methylsulfonyl)-3-(2,4,5-trifluorophenyl)-1,2,3,4-tetrahydropyrido[1,2-a]benzimidazol-2-amine	DPP4
7-(aminomethyl)-6-(2-chlorophenyl)-1-methyl-1H-benzimidazole-5-carbonitrile	DPP4
(3R)-4-[(3R)-3-AMINO-4-(2,4,5-TRIFLUOROPHENYL)BUTANOYL]-3-(2,2,2-TRIFLUOROETHYL)-1,4-DIAZEPAN-2-ONE	DPP4
METHYL 4-{[({[(2R,5S)-5-{[(2S)-2-(AMINOMETHYL)PYRROLIDIN-1-YL]CARBONYL}PYRROLIDIN-2-YL]METHYL}AMINO)CARBONYL]AMINO}BENZOATE	DPP4
(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-ETHYNYLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE	DPP4
1-biphenyl-2-ylmethanamine	DPP4
(1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile	DPP4
(2R)-N-[(2R)-2-(DIHYDROXYBORYL)-1-L-PROLYLPYRROLIDIN-2-YL]-N-[(5R)-5-(DIHYDROXYBORYL)-1-L-PROLYLPYRROLIDIN-2-YL]-L-PROLINAMIDE	DPP4
(3R,4S)-1-{6-[3-(METHYLSULFONYL)PHENYL]PYRIMIDIN-4-YL}-4-(2,4,5-TRIFLUOROPHENYL)PYRROLIDIN-3-AMINE	DPP4
N-({(2S)-1-[(3R)-3-AMINO-4-(2-FLUOROPHENYL)BUTANOYL]PYRROLIDIN-2-YL}METHYL)BENZAMIDE	DPP4
(4R,5R)-5-AMINO-1-[2-(1,3-BENZODIOXOL-5-YL)ETHYL]-4-(2,4,5-TRIFLUOROPHENYL)PIPERIDIN-2-ONE	DPP4
(3R,4S)-1-(3,4-DIMETHOXYPHENYL)-3-(3-METHYLPHENYL)PIPERIDIN-4-AMINE	DPP4
1-[2-(S)-AMINO-3-BIPHENYL-4-YL-PROPIONYL]-PYRROLIDINE-2-(S)-CARBONITRILE	DPP4
(1S,6R)-3-{[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]CARBONYL}-6-(2,4,5-TRIFLUOROPHENYL)CYCLOHEX-3-EN-1-AMINE	DPP4
(2R)-4-(2-BENZOYL-1,2-DIAZEPAN-1-YL)-4-OXO-1-(2,4,5-TRIFLUOROPHENYL)BUTAN-2-AMINE	DPP4
(3R,4R)-1-{6-[3-(METHYLSULFONYL)PHENYL]PYRIMIDIN-4-YL}-4-(2,4,5-TRIFLUOROPHENYL)PIPERIDIN-3-AMINE	DPP4
2-(4-{(3S,5S)-5-[(3,3-difluoropyrrolidin-1-yl)carbonyl]pyrrolidin-3-yl}piperazin-1-yl)pyrimidine	DPP4
N-({(2S)-1-[(3R)-3-amino-4-(3-chlorophenyl)butanoyl]pyrrolidin-2-yl}methyl)-3-(methylsulfonyl)benzamide	DPP4
(3R,4S)-1-[6-(6-METHOXYPYRIDIN-3-YL)PYRIMIDIN-4-YL]-4-(2,4,5-TRIFLUOROPHENYL)PYRROLIDIN-3-AMINE	DPP4
6-(4-{(1S,2S)-2-AMINO-1-[(DIMETHYLAMINO)CARBONYL]-3-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-3-OXOPROPYL}PHENYL)-1H-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-4-IUM	DPP4
7-BENZYL-1,3-DIMETHYL-8-PIPERAZIN-1-YL-3,7-DIHYDRO-PURINE-2,6-DIONE	DPP4
2-({2-[(3R)-3-AMINOPIPERIDIN-1-YL]-4-OXOQUINAZOLIN-3(4H)-YL}METHYL)BENZONITRILE	DPP4
4-[(3R)-3-{[2-(4-FLUOROPHENYL)-2-OXOETHYL]AMINO}BUTYL]BENZAMIDE	DPP4
2-({8-[(3R)-3-AMINOPIPERIDIN-1-YL]-1,3-DIMETHYL-2,6-DIOXO-1,2,3,6-TETRAHYDRO-7H-PURIN-7-YL}METHYL)BENZONITRILE	DPP4
Linagliptin	DPP4
Eculizumab	C5
Idursulfase	PLIN3
Galsulfase	PLIN3
Exenatide	GLP1R
GSK716155	GLP1R
Liraglutide	GLP1R
Albiglutide	GLP1R
Dulaglutide	GLP1R
ATL1101	IGF1R
IMC-A12	IGF1R
rhIGFBP-3	IGF1R
(4Z)-6-bromo-4-({[4-(pyrrolidin-1-ylmethyl)phenyl]amino}methylidene)isoquinoline-1,3(2H,4H)-dione	IGF1R
3-[5-(1H-IMIDAZOL-1-YL)-7-METHYL-1H-BENZIMIDAZOL-2-YL]-4-[(PYRIDIN-2-YLMETHYL)AMINO]PYRIDIN-2(1H)-ONE	IGF1R
1,2,3,4-Tetrahydro-Isoquinoline-7-Sulfonic Acid Amide	PNMT
7-Iodo-1,2,3,4-Tetrahydro-Isoquinoline	PNMT
8,9-Dichloro-2,3,4,5-Tetrahydro-1h-Benzo[C]Azepine	PNMT
CIS-(1R,2S)-2-AMINO-1,2,3,4-TETRAHYDRONAPHTHALEN-1-OL	PNMT
(3R)-3-(FLUOROMETHYL)-7-(THIOMORPHOLIN-4-YLSULFONYL)-1,2,3,4-TETRAHYDROISOQUINOLINE	PNMT
